Year,Males_under_20,Males_under_20_pct,Females_under_20,Females_under_20_pct,Males_over_20,Males_over_20_pct,Females_over_20,Females_over_20_pct,Total,Total_pct
1975,638,64,148,15,180,18,32,3,1003,100
1976,568,62,130,14,180,20,33,4,914,100
1977,543,59,159,17,184,20,33,4,922,100
1978,531,60,140,16,182,20,37,4,892,100
1979,534,57,130,14,219,23,42,5,932,100
1980,511,53,132,14,268,28,49,5,965,100
1981,477,51,127,14,260,28,53,6,936,100
1982,428,50,91,11,288,33,52,6,864,100
1983,463,56,85,10,233,28,45,5,830,100
1984,405,48,98,12,268,32,53,6,838,100
1985,435,50,86,10,288,33,50,6,869,100
1986,459,49,85,9,322,35,54,6,929,100
1987,470,50,77,8,353,38,37,4,940,100
1988,415,46,75,8,353,39,52,6,901,100
1989,374,45,75,9,320,39,51,6,822,100
1990,319,37,56,7,403,47,65,8,853,100
1991,290,35,66,8,419,50,55,7,836,100
1992,290,40,51,7,335,47,39,5,717,100
1993,304,38,58,7,395,49,46,6,806,100
1994,293,37,61,8,387,49,48,6,796,100
1995,263,32,63,8,430,52,64,8,828,100
1996,246,32,52,7,402,53,55,7,761,100
1997,271,33,48,6,438,54,51,6,811,100
1998,235,31,41,5,421,56,58,8,757,100
1999,229,31,44,6,425,57,50,7,750,100
2000,201,29,30,4,410,60,46,7,689,100
2001,174,24,31,4,479,66,41,6,729,100
2002,157,24,32,5,426,64,41,6,663,100
2003,159,25,29,5,394,63,42,7,626,100
2004,144,20,44,6,478,66,52,7,722,100
2005,149,19,30,4,532,68,67,9,784,100
2006,131,17,23,3,539,70,71,9,769,100
2007,120,17,25,4,489,70,58,8,699,100
2008,111,16,24,3,509,71,68,9,716,100
2009,95,15,23,4,454,72,56,9,628,100
2010,81,13,18,3,452,73,66,11,621,100
2011,81,12,23,3,497,73,76,11,680,100
2012,100,14,17,2,535,73,72,10,730,100
2013,97,13,12,2,546,73,87,12,747,100
2014,82,11,13,2,553,76,68,9,723,100
2015,82,10,12,1,619,75,109,13,828,100
2016,87,10,16,2,622,73,112,13,848,100
2017,90,11,14,2,613,77,75,9,800,100
2018,73,8,18,2,671,77,95,11,868,100
2019,70,8,12,1,662,77,107,12,856,100
2020,84,9,13,1,723,77,104,11,942,100
2021,62,6,21,2,761,78,99,10,971,100
2022,80,7,14,1,836,77,127,12,1084,100
